Inglese;Italiano;Affidabilità
Please close the other instances of this message and try again.;Chiudere le altre istanze di questo messaggio e riprovare.;0.85
The children of this directory will have 7 parent directories.;I discendenti di questa directory avranno 7 directory superiori.;0.821
The report links errors to documentation about how to remedy common problems.;Il report collega gli errori alla documentazione riguardante i rimedi ai problemi più comuni.;0.922
The security certificate for {0} is invalid.;Il certificato di sicurezza per {0} non è valido.;0.907
Which Amazon MP3 storefront to use by default.;Quale facciata del negozio Amazon MP3 usare predefinitamente.;0.873
There was an error whilst launching the debugger.;C'è stato un errore durante l'avvio del debug.;0.843
"Online Sources
Amazon MP3 Import
Download and import music purchased from Amazon.com.";"Fonti in rete
Importa Amazon MP3
Scarica e importa musica acquistata da Amazon.com.";0.897
%s: %s is not in mbox format.;"%s: ""%s"" non è nel formato mbox.";0.974
Useful for concept albums and classical music.;Utile per i concept-album e la musica classica.;0.931
Examine and remove any rejected files.;Esaminare e rimuovere ogni file respinto.;0.852
Could not find a valid project backend for the directory given (%s).;Impossibile trovare un backend di progetto valido per la directory fornita (%s).;0.888
"Should brasero filter hidden files
Should brasero filter hidden files.";"Indica se filtrare i file nascosti
Indica se filtrare i file nascosti.";0.751
"Failed to show help
Baobab
A graphical tool to analyze disk usage.";"Visualizzazione dell'aiuto non riuscita
Baobab
Uno strumento grafico per analizzare l'utilizzo del disco.";0.898
While the test is running, click the button again to cancel it.;Un'ulteriore pressione del pulsante arresterà l'esecuzione del test.;0.751
Once you are done with all the modifications, click OK.;Una volta applicate tutte le modifiche, fare clic su OK.;0.837
"Import media from a variety of sources
Import Playlist...";"Importa multimedia da diverse sorgenti
Importa scaletta...";0.794
"Mail Files
Problem Creating Mailboxes %s
You've successfully set up Balsa.";"File di posta
Problema nella creazione delle caselle %s
Balsa è stato configurato con successo.";0.758
The signature could not be verified due to an invalid crypto engine.;Impossibile verificare la firma perché il motore crittografico è corrotto.;0.773
"Unable to open the file: %s
Unable to open %s.";"Impossibile aprire il file: %s
Impossibile aprire «%s».";0.931
"Recently played games
A list of recently played games.";"Partite giocate recentemente
Un elenco delle partite giocate recentemente.";0.854
"Found level '%s' in: %s
Atomix
A puzzle game about atoms and molecules
translator-credits
Congratulations!";"Trovato livello %s in: %s
Atomix
Un rompicapo con atomi e molecole.";0.897
"Do not install:
Build but do not install the target.";"Non installare:
Genera ma non installare l'obiettivo.";0.872
Please check that the track's location is accessible by the system.;Verificare che la posizione della traccia sia accessibile dal sistema.;0.76
"See above for details
CVS command is running — please wait until it finishes!";"Vedere sopra per dettagli
Il comando CVS è in esecuzione — attendere fino a quando finirà.";0.866
Transferring POP message to %s failed.;"Trasferimento del messaggio POP in ""%s"" fallito.";0.929
"Data copy error
Mailbox %s does not appear to be an Mbox mailbox.";"Errore di copia dei dati
La casella ""%s"" non sembra di tipo Mbox.";0.762
"Pick a Color
Directory could not be created (%s)
Error while loading the project.";"Scelta colore
Impossibile creare la directory (%s)
Errore nel caricare il progetto.";0.891
"Are you sure you want to remove the target ""%s"" from the project?";Rimuovere veramente la scorciatoia «%s» dal progetto?;0.896
Cannot start terminal for debugging.;Impossibile avviare il terminale per il debug.;0.845
"Apple device Support
Support for most iPod/iPhone/iPad devices.";"Supporto dispositivi Apple
Supporto per molti dispositivi iPod, iPhone e iPad.";0.943
You may bypass the Preferences dialog by using drag and drop to move plugin tabs.;È possibile ignorare la finestra Preferenze usando il trascinamento per muovere le schede dei plugin.;0.769
Do you want to do that ?;Si è sicuri di volere ciò?;0.781
Click on Video project in the main window or choose ProjectNew projectNew video project.;Nella finestra principale fare clic su Progetto video oppure scegliere ProgettoNuovo progettoNuovo progetto video.;0.926
"unknown error
forwarded message
Message from %s, subject: ""%s""
(URL)
Attach file
Attaching message failed.";"Provare di nuovo
Errore: servizio non disponibile
Si è verificato un errore inviando un'immagine: %s.";0.758
Are you sure you want to remove the following target from project?;Rimuovere il seguente obiettivo dal progetto?;0.923
Make sure 'gdb' is installed on the system.;Assicurarsi che «gdb» sia installato nel sistema.;0.975
The source file will be deleted from the file system.;Il file sorgente sarà eliminato dal file system.;0.909
Then click the Validate button to start the test.;Premere quindi il pulsante Validazione per avviare il test.;0.907
Pressing ControlAlta will select the last focused widget's accessible in Accerciser.;Premendo CtrlAlta verrà selezionato l'ultimo widget dell'accessibile selezionato in Accerciser.;0.861
To see more of the tree at startup, choose a greater depth.;Per vedere una parte maggiore dell'albero all'avvio, scegliere una profondità maggiore.;0.793
"Could not obtain backup filename
Loading
Saving...";Impossibile recuperare il nome del file di backup.;0.813
"Quick open operations
The program is already running.";"Operazioni apertura veloce
Il programma è in esecuzione.";0.88
"The CD/DVD copy options dialog will be shown; make the desired modifications (see for more information).";Il dialogo Opzioni per la copia di CD/DVD viene mostrato.;0.817
"Could not open %s: %s
The file '%s' is read-only!";"Impossibile aprire «%s»: %s
Il file «%s» è di sola lettura.";0.913
"Balsa Filters
Filter ""%s"" has no condition.";"Filtri di Balsa
Il Filtro ""%s"" non ha condizioni.";0.814
